# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    4.28e+01  4.30e+01    3.54e+00  3.55e+00    1.35e+00  1.36e+00    1.0e-03
   1000    1.35e+01  1.41e+01    8.94e-01  8.94e-01    4.26e-01  4.46e-01    1.0e-03
   2000    1.11e+01  1.17e+01    7.22e-02  7.74e-02    3.54e-01  3.74e-01    9.8e-04
   3000    9.02e+00  9.58e+00    1.36e-02  1.60e-02    2.89e-01  3.07e-01    9.8e-04
   4000    7.34e+00  7.66e+00    7.40e-02  7.44e-02    2.37e-01  2.48e-01    9.5e-04
   5000    7.07e+00  6.27e+00    1.18e-01  1.21e-01    2.28e-01  2.02e-01    9.5e-04
   6000    5.98e+00  4.94e+00    6.76e-02  6.78e-02    1.95e-01  1.61e-01    9.3e-04
   7000    7.23e+00  5.54e+00    7.23e-02  6.70e-02    2.36e-01  1.81e-01    9.3e-04
   8000    4.76e+00  4.03e+00    7.23e-02  7.32e-02    1.57e-01  1.33e-01    9.1e-04
   9000    5.44e+00  6.25e+00    6.54e-02  6.50e-02    1.80e-01  2.06e-01    9.1e-04
  10000    5.05e+00  4.38e+00    2.62e-02  2.56e-02    1.69e-01  1.47e-01    8.9e-04
  11000    4.42e+00  4.26e+00    2.47e-02  1.74e-02    1.48e-01  1.43e-01    8.9e-04
  12000    7.05e+00  5.94e+00    4.60e-02  5.07e-02    2.39e-01  2.01e-01    8.7e-04
  13000    4.93e+00  4.31e+00    2.17e-02  2.31e-02    1.67e-01  1.46e-01    8.7e-04
  14000    5.16e+00  4.50e+00    7.38e-02  7.57e-02    1.76e-01  1.53e-01    8.5e-04
  15000    4.93e+00  5.30e+00    1.48e-01  1.49e-01    1.65e-01  1.78e-01    8.5e-04
  16000    3.80e+00  5.32e+00    8.49e-02  8.39e-02    1.30e-01  1.83e-01    8.3e-04
  17000    3.63e+00  4.17e+00    1.62e-01  1.60e-01    1.19e-01  1.39e-01    8.3e-04
  18000    4.63e+00  4.46e+00    7.43e-03  8.22e-03    1.62e-01  1.56e-01    8.1e-04
  19000    3.14e+00  4.54e+00    3.47e-02  3.60e-02    1.10e-01  1.59e-01    8.1e-04
  20000    4.04e+00  3.57e+00    4.98e-02  4.83e-02    1.43e-01  1.26e-01    7.9e-04
  21000    4.16e+00  3.78e+00    1.70e-02  1.73e-02    1.47e-01  1.34e-01    7.9e-04
  22000    5.00e+00  4.54e+00    9.06e-03  1.22e-02    1.79e-01  1.63e-01    7.8e-04
  23000    3.94e+00  3.89e+00    1.17e-02  1.55e-02    1.41e-01  1.39e-01    7.8e-04
  24000    4.09e+00  3.77e+00    1.98e-02  2.37e-02    1.48e-01  1.37e-01    7.6e-04
  25000    2.49e+00  3.20e+00    3.40e-02  3.15e-02    8.98e-02  1.16e-01    7.6e-04
  26000    3.88e+00  3.72e+00    3.28e-02  3.71e-02    1.42e-01  1.36e-01    7.4e-04
  27000    4.00e+00  3.04e+00    4.39e-02  4.76e-02    1.46e-01  1.11e-01    7.4e-04
  28000    4.36e+00  3.88e+00    1.13e-02  1.02e-02    1.62e-01  1.44e-01    7.2e-04
  29000    2.63e+00  2.99e+00    1.47e-02  1.13e-02    9.77e-02  1.11e-01    7.2e-04
  30000    4.09e+00  4.03e+00    3.74e-02  3.87e-02    1.53e-01  1.51e-01    7.1e-04
  31000    3.77e+00  4.16e+00    1.27e-02  1.54e-02    1.42e-01  1.56e-01    7.1e-04
  32000    3.74e+00  4.06e+00    5.45e-02  4.85e-02    1.41e-01  1.53e-01    6.9e-04
  33000    4.10e+00  3.14e+00    1.26e-02  1.11e-02    1.56e-01  1.19e-01    6.9e-04
  34000    2.95e+00  3.37e+00    1.14e-02  8.76e-03    1.13e-01  1.30e-01    6.8e-04
  35000    2.52e+00  2.28e+00    1.32e-02  1.55e-02    9.69e-02  8.73e-02    6.8e-04
  36000    2.56e+00  2.62e+00    7.41e-03  4.28e-03    9.94e-02  1.02e-01    6.6e-04
  37000    3.49e+00  4.58e+00    2.53e-02  2.73e-02    1.35e-01  1.78e-01    6.6e-04
  38000    1.88e+00  2.20e+00    1.18e-02  1.36e-02    7.38e-02  8.66e-02    6.5e-04
  39000    2.49e+00  2.32e+00    1.61e-03  2.80e-03    9.81e-02  9.13e-02    6.5e-04
  40000    3.50e+00  3.38e+00    1.20e-02  8.22e-03    1.39e-01  1.34e-01    6.3e-04
  41000    2.49e+00  2.31e+00    2.98e-03  2.55e-03    9.90e-02  9.20e-02    6.3e-04
