# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.05e+01  2.06e+01    4.98e+00  4.98e+00    6.33e-01  6.38e-01    1.0e-03
   1000    1.41e+01  1.37e+01    1.39e-01  1.39e-01    4.46e-01  4.34e-01    1.0e-03
   2000    1.10e+01  1.26e+01    5.60e-02  6.41e-02    3.52e-01  4.04e-01    9.8e-04
   3000    1.04e+01  1.13e+01    7.72e-02  8.25e-02    3.32e-01  3.63e-01    9.8e-04
   4000    8.43e+00  7.92e+00    1.01e-01  1.04e-01    2.73e-01  2.56e-01    9.5e-04
   5000    7.49e+00  6.41e+00    1.15e-02  1.26e-02    2.42e-01  2.07e-01    9.5e-04
   6000    6.53e+00  5.55e+00    7.39e-02  7.69e-02    2.13e-01  1.81e-01    9.3e-04
   7000    7.41e+00  5.77e+00    4.50e-02  4.05e-02    2.42e-01  1.89e-01    9.3e-04
   8000    5.67e+00  4.51e+00    6.06e-02  6.15e-02    1.87e-01  1.49e-01    9.1e-04
   9000    6.74e+00  7.17e+00    2.56e-02  2.29e-02    2.23e-01  2.37e-01    9.1e-04
  10000    5.44e+00  5.37e+00    2.11e-02  2.25e-02    1.82e-01  1.80e-01    8.9e-04
  11000    6.77e+00  6.05e+00    1.89e-02  1.18e-02    2.27e-01  2.03e-01    8.9e-04
  12000    8.16e+00  6.78e+00    3.76e-02  3.81e-02    2.76e-01  2.29e-01    8.7e-04
  13000    4.90e+00  5.03e+00    2.03e-02  2.18e-02    1.66e-01  1.70e-01    8.7e-04
  14000    5.54e+00  4.90e+00    2.94e-05  5.69e-03    1.90e-01  1.68e-01    8.5e-04
  15000    5.23e+00  5.38e+00    3.50e-02  3.81e-02    1.79e-01  1.84e-01    8.5e-04
  16000    3.92e+00  5.47e+00    3.42e-02  3.03e-02    1.36e-01  1.89e-01    8.3e-04
  17000    3.97e+00  4.98e+00    3.36e-02  3.72e-02    1.37e-01  1.72e-01    8.3e-04
  18000    4.40e+00  4.27e+00    6.73e-03  1.07e-02    1.54e-01  1.50e-01    8.1e-04
  19000    4.66e+00  5.36e+00    5.10e-02  5.13e-02    1.63e-01  1.88e-01    8.1e-04
  20000    4.67e+00  3.73e+00    2.60e-03  1.43e-03    1.66e-01  1.32e-01    7.9e-04
  21000    4.73e+00  4.34e+00    2.12e-02  2.03e-02    1.68e-01  1.54e-01    7.9e-04
  22000    5.59e+00  4.53e+00    3.23e-02  3.65e-02    2.00e-01  1.62e-01    7.8e-04
  23000    5.47e+00  4.87e+00    2.87e-03  7.45e-03    1.96e-01  1.75e-01    7.8e-04
  24000    4.61e+00  4.22e+00    4.42e-02  4.61e-02    1.67e-01  1.53e-01    7.6e-04
  25000    2.78e+00  3.04e+00    3.66e-02  3.70e-02    1.00e-01  1.10e-01    7.6e-04
  26000    4.11e+00  3.73e+00    7.40e-03  7.67e-03    1.51e-01  1.37e-01    7.4e-04
  27000    3.85e+00  2.81e+00    2.01e-02  2.31e-02    1.41e-01  1.03e-01    7.4e-04
  28000    3.66e+00  3.26e+00    2.39e-02  2.73e-02    1.36e-01  1.21e-01    7.2e-04
  29000    3.07e+00  3.29e+00    2.09e-02  1.73e-02    1.14e-01  1.22e-01    7.2e-04
  30000    4.23e+00  4.72e+00    2.68e-02  2.84e-02    1.59e-01  1.77e-01    7.1e-04
  31000    3.99e+00  4.32e+00    1.86e-02  2.45e-02    1.50e-01  1.62e-01    7.1e-04
  32000    4.02e+00  4.00e+00    2.22e-02  1.89e-02    1.52e-01  1.52e-01    6.9e-04
  33000    4.77e+00  3.67e+00    1.72e-04  7.96e-04    1.81e-01  1.40e-01    6.9e-04
  34000    3.17e+00  4.18e+00    3.47e-02  3.17e-02    1.21e-01  1.60e-01    6.8e-04
  35000    3.05e+00  2.77e+00    1.04e-02  1.20e-02    1.17e-01  1.07e-01    6.8e-04
  36000    2.80e+00  2.84e+00    2.87e-03  5.68e-03    1.09e-01  1.10e-01    6.6e-04
  37000    3.54e+00  4.11e+00    7.01e-03  9.88e-03    1.38e-01  1.60e-01    6.6e-04
  38000    2.40e+00  2.71e+00    8.34e-03  7.24e-03    9.42e-02  1.07e-01    6.5e-04
  39000    3.83e+00  3.58e+00    5.63e-03  6.06e-03    1.51e-01  1.41e-01    6.5e-04
  40000    3.98e+00  4.26e+00    1.45e-02  1.31e-02    1.58e-01  1.70e-01    6.3e-04
  41000    3.13e+00  2.43e+00    5.13e-03  6.10e-03    1.24e-01  9.68e-02    6.3e-04
  42000    2.23e+00  2.49e+00    2.27e-02  1.83e-02    8.94e-02  1.00e-01    6.2e-04
  43000    2.82e+00  2.43e+00    2.33e-03  1.63e-03    1.13e-01  9.80e-02    6.2e-04
  44000    2.00e+00  2.07e+00    2.59e-02  2.27e-02    8.06e-02  8.38e-02    6.0e-04
  45000    2.48e+00  2.81e+00    1.01e-03  1.27e-03    1.01e-01  1.14e-01    6.0e-04
  46000    2.76e+00  2.28e+00    1.40e-02  1.77e-02    1.13e-01  9.35e-02    5.9e-04
  47000    3.03e+00  3.20e+00    1.79e-02  1.81e-02    1.25e-01  1.31e-01    5.9e-04
  48000    2.84e+00  2.13e+00    1.13e-02  9.98e-03    1.18e-01  8.86e-02    5.8e-04
  49000    2.28e+00  2.71e+00    1.11e-02  6.65e-03    9.48e-02  1.13e-01    5.8e-04
  50000    2.54e+00  2.07e+00    1.25e-02  1.12e-02    1.07e-01  8.70e-02    5.6e-04
  51000    2.67e+00  2.16e+00    4.80e-03  7.49e-03    1.13e-01  9.09e-02    5.6e-04
  52000    2.76e+00  2.49e+00    1.21e-02  1.13e-02    1.17e-01  1.06e-01    5.5e-04
  53000    2.74e+00  2.76e+00    1.56e-02  1.90e-02    1.16e-01  1.17e-01    5.5e-04
  54000    2.35e+00  3.34e+00    1.53e-02  3.77e-03    1.01e-01  1.44e-01    5.4e-04
  55000    2.48e+00  2.34e+00    3.22e-02  3.07e-02    1.06e-01  9.97e-02    5.4e-04
  56000    2.34e+00  2.01e+00    2.10e-02  1.92e-02    1.02e-01  8.69e-02    5.2e-04
  57000    2.33e+00  2.68e+00    1.07e-02  8.14e-03    1.01e-01  1.17e-01    5.2e-04
  58000    2.09e+00  1.85e+00    1.97e-02  1.99e-02    9.16e-02  8.08e-02    5.1e-04
  59000    1.62e+00  2.14e+00    1.30e-02  1.36e-02    7.12e-02  9.42e-02    5.1e-04
  60000    2.21e+00  2.18e+00    3.90e-03  4.15e-03    9.85e-02  9.71e-02    5.0e-04
  61000    2.05e+00  1.92e+00    1.22e-03  5.74e-05    9.16e-02  8.55e-02    5.0e-04
  62000    2.75e+00  1.81e+00    1.47e-02  1.48e-02    1.24e-01  8.14e-02    4.9e-04
  63000    2.55e+00  2.27e+00    8.75e-04  1.30e-03    1.15e-01  1.03e-01    4.9e-04
  64000    3.16e+00  2.71e+00    9.30e-03  5.37e-03    1.44e-01  1.24e-01    4.8e-04
  65000    2.51e+00  2.44e+00    7.00e-04  3.12e-04    1.15e-01  1.12e-01    4.8e-04
  66000    2.61e+00  2.41e+00    2.84e-02  2.85e-02    1.20e-01  1.10e-01    4.7e-04
  67000    2.66e+00  2.03e+00    2.26e-02  2.24e-02    1.22e-01  9.26e-02    4.7e-04
  68000    1.44e+00  1.99e+00    6.20e-03  3.78e-03    6.74e-02  9.29e-02    4.6e-04
  69000    1.84e+00  1.52e+00    4.98e-03  3.33e-03    8.58e-02  7.12e-02    4.6e-04
  70000    2.08e+00  1.65e+00    2.34e-03  3.95e-03    9.85e-02  7.80e-02    4.5e-04
  71000    2.19e+00  1.77e+00    8.07e-03  7.68e-03    1.03e-01  8.36e-02    4.5e-04
  72000    2.65e+00  2.14e+00    1.26e-02  1.09e-02    1.27e-01  1.02e-01    4.4e-04
  73000    2.02e+00  2.08e+00    1.30e-02  1.17e-02    9.63e-02  9.94e-02    4.4e-04
  74000    1.86e+00  2.03e+00    2.44e-02  2.36e-02    8.85e-02  9.70e-02    4.3e-04
  75000    1.73e+00  2.03e+00    1.72e-02  1.35e-02    8.27e-02  9.78e-02    4.3e-04
  76000    1.93e+00  2.08e+00    9.20e-03  1.11e-03    9.41e-02  1.02e-01    4.2e-04
  77000    2.19e+00  2.09e+00    6.29e-03  4.69e-03    1.07e-01  1.02e-01    4.2e-04
  78000    2.14e+00  1.81e+00    2.51e-02  2.50e-02    1.05e-01  8.79e-02    4.1e-04
  79000    1.49e+00  1.81e+00    1.35e-02  1.20e-02    7.31e-02  8.95e-02    4.1e-04
  80000    1.91e+00  1.77e+00    8.29e-03  8.11e-03    9.52e-02  8.86e-02    4.0e-04
  81000    2.35e+00  1.88e+00    9.46e-03  1.12e-02    1.17e-01  9.38e-02    4.0e-04
  82000    1.38e+00  1.65e+00    3.50e-04  1.79e-03    6.99e-02  8.34e-02    3.9e-04
  83000    2.34e+00  2.45e+00    6.72e-03  4.60e-03    1.19e-01  1.24e-01    3.9e-04
  84000    2.43e+00  2.50e+00    2.02e-02  2.18e-02    1.24e-01  1.27e-01    3.8e-04
  85000    2.21e+00  2.02e+00    1.24e-02  1.59e-02    1.13e-01  1.03e-01    3.8e-04
  86000    1.33e+00  1.46e+00    2.53e-04  1.03e-03    6.87e-02  7.58e-02    3.7e-04
  87000    2.49e+00  1.91e+00    1.04e-02  1.16e-02    1.29e-01  9.87e-02    3.7e-04
  88000    1.68e+00  1.51e+00    4.03e-03  1.45e-03    8.83e-02  7.91e-02    3.6e-04
  89000    1.29e+00  1.74e+00    2.35e-04  4.86e-04    6.74e-02  9.14e-02    3.6e-04
  90000    1.97e+00  1.85e+00    4.45e-03  1.43e-03    1.04e-01  9.80e-02    3.5e-04
  91000    1.19e+00  1.49e+00    1.61e-03  1.04e-03    6.29e-02  7.90e-02    3.5e-04
  92000    1.84e+00  2.26e+00    2.82e-03  5.69e-04    9.87e-02  1.21e-01    3.5e-04
  93000    2.31e+00  1.53e+00    2.42e-02  2.59e-02    1.23e-01  7.97e-02    3.5e-04
  94000    1.70e+00  1.96e+00    5.25e-03  3.62e-03    9.20e-02  1.06e-01    3.4e-04
  95000    1.46e+00  1.42e+00    4.45e-03  2.09e-03    7.94e-02  7.71e-02    3.4e-04
  96000    1.61e+00  2.26e+00    6.24e-03  4.80e-03    8.83e-02  1.24e-01    3.3e-04
  97000    1.95e+00  2.21e+00    3.20e-02  3.24e-02    1.04e-01  1.18e-01    3.3e-04
  98000    2.04e+00  1.79e+00    7.43e-03  7.70e-03    1.13e-01  9.91e-02    3.2e-04
